Name,RA (2000) ,DEC (2000) ,Object Type ,RA (deg),Dec (deg)
V1274 Sgr ,48:55.00,-17:52:00,n/sn ,267.2291666666667,-17.86527777777778
V3964 Sgr ,17:49:42.55,-17:23:35.40,na ,267.42756249999996,-17.393383333333333
V825 Sco ,17:49:53.65,-33:32:13.70,n ,267.47410291666665,-33.53695027777778
V723 Sco ,17:50:05.20,-35:23:57.80,na/nra ,267.52166666666665,-35.39944444444444
V759 Sgr ,17:50:19.69,-27:25:02.40,ux/ug ,267.5820545833333,-27.417326666666668
V1172 Sgr ,17:50:23.55,-20:40:30.30,n ,267.5985716666666,-20.674950833333334
Sgr ,17:50:36.09,-30:01:46.60,na ,11.074999999999998,42.3
Sco ,17:50:36.66,-32:55:25.80,ug ,,
Sco ,17:50:59.96,-33:33:37.50,ug ,,
V697 Sco ,17:51:21.83,-37:24:55.20,na/dq ,267.8413483333333,-37.415746388888884
V977 Sco ,17:51:50.35,-32:32:00.10,n ,267.95985249999995,-32.53263277777778
V382 Sco ,17:51:56.13,-35:25:05.40,n ,267.98387499999995,-35.418166666666664
V720 Sco ,51:58.00,-35:23:22.00,n ,267.9925,-35.39083333333333
Sco ,17:51:59.68,-32:49:09.10,ug ,,
KW Sgr ,17:52:00.80,-28:01:21.00,non-cv ,268.00302874999994,-28.022376388888887
Sco ,17:52:27.08,-32:59:09.90,ug ,,
V4334 Sgr ,17:52:32.69,-17:41:07.70,non-cv ,268.1362229166666,-17.68556
V696 Sco ,17:53:11.51,-35:50:15.40,na ,268.2981495833333,-35.837339444444446
V2415 Sgr ,53:12.00,-29:34:25.00,n ,268.29999999999995,-29.57361111111111
V744 Sco ,17:53:18.08,-31:13:35.10,n ,268.32533333333333,-31.226416666666665
Sco ,53:40.00,-30:45:32.00,n ,,
Sgr ,17:53:40.45,-29:33:44.10,ug ,11.074999999999998,42.3
V4092 Sgr ,17:53:41.99,-29:02:08.40,n ,268.42495833333334,-29.035666666666668
Sgr ,17:53:47.73,-29:44:37.90,ugsu ,11.074999999999998,42.3
V711 Sco ,54:06.00,-34:21:16.00,n ,268.52564791666657,-34.35430083333333
Sco ,54:11.00,-30:48:51.00,non-ex ,,
V1141 Sco ,17:54:11.20,-30:02:52.00,n ,268.5472083333333,-30.048055555555557
V4643 Sgr ,17:54:40.46,-26:14:15.20,na ,268.66840499999995,-26.237638333333333
Sgr ,54:43.00,-28:41:41.00,n ,11.074999999999998,42.3
Sgr ,17:55:05.98,-29:20:32.70,cv ,11.074999999999998,42.3
V4642 Sgr ,17:55:09.84,-19:46:01.00,na ,268.79118916666664,-19.76695722222222
V745 Sco ,17:55:22.25,-33:14:59.50,nra ,268.8426083333333,-33.2495975
V1142 Sco ,17:55:24.99,-31:01:41.50,na ,268.85412499999995,-31.028194444444445
V732 Sgr ,17:56:07.49,-27:22:17.90,na ,269.03128458333333,-27.37109277777778
Sco ,17:56:21.61,-31:05:41.80,ug ,,
V960 Sco ,17:56:34.14,-31:49:36.30,n ,269.14237374999993,-31.82654833333333
Sco ,17:56:45.15,-30:43:03.20,ug ,,
V1178 Sco ,17:57:06.92,-32:23:05.00,na ,269.27767916666664,-32.38482222222222
Sgr ,17:57:08.68,-35:15:38.40,non-cv ,11.074999999999998,42.3
V990 Sgr ,57:19.00,-28:19:07.00,na ,269.3259583333333,-28.31887777777778
Sco ,17:57:52.03,-31:05:10.20,ugsu ,,
V3889 Sgr ,17:58:21.32,-28:21:52.70,na ,269.58883333333324,-28.36463888888889
Sgr ,17:58:32.45,-27:52:44.40,ug ,11.074999999999998,42.3
Sgr ,17:58:53.58,-29:18:59.70,ug ,11.074999999999998,42.3
V2435 Sgr ,17:58:54.98,-29:00:37.80,non-cv ,269.7291012499999,-29.01051861111111
V1275 Sgr ,17:59:06.31,-36:18:40.60,na ,269.7764583333333,-36.31133333333333
Sgr ,17:59:16.52,-42:35:07.00,ugsu ,11.074999999999998,42.3
V4338 Sgr ,17:59:18.17,-29:09:52.90,ug ,269.8260358333333,-29.164598055555555
V2446 Sgr ,17:59:23.31,-29:02:16.70,non-cv ,269.84662625,-29.037872222222223
V4683 Sgr ,17:59:39.61,-25:13:30.30,non-cv ,269.9148808333333,-25.224653888888888
V4135 Sgr ,17:59:45.08,-32:16:20.80,n ,269.93783333333334,-32.272444444444446
V2468 Sgr ,17:59:48.54,-29:01:03.70,UG ,269.95416666666665,-29.0175
V735 Sgr ,17:59:51.82,-29:33:55.90,ugz ,269.96577541666665,-29.565506666666668
V4741 Sgr ,17:59:59.63,-30:53:20.50,na ,269.9984583333333,-30.889027777777777
Sgr ,18:00:01.22,-29:50:38.50,ug ,11.074999999999998,42.3
Sgr ,18:00:01.25,-29:02:06.40,cv ,11.074999999999998,42.3
V787 Sgr ,18:00:02.20,-30:30:30.90,na ,270.00916666666666,-30.50861111111111
V999 Sgr ,18:00:05.59,-27:33:14.00,nb ,270.0237279166666,-27.55383861111111
Sgr ,18:00:12.02,-30:05:15.90,ug ,11.074999999999998,42.3
V394 CrA ,18:00:25.97,-39:00:35.10,nrb ,270.10847749999994,-39.009552222222226
FL Sgr ,18:00:30.20,-34:36:13.10,na ,270.1258333333333,-34.603611111111114
